img_name,label_text,x_diff,x_left,x_pixels,y_diff,y_pixels,y_top,label,x_right,y_btm,img_path,x_center,y_center,x_center_scaled,y_center_scaled,width_scaled,height_scaled
2703-2021_03_20_074318.jpg,car,35,510,640,27,360,187,1,545,214,LTAdatasets/2703/annotate/2703-2021_03_20_074318.jpg,527.5,200.5,0.82421875,0.5569444444444445,0.0546875,0.075
2703-2021_03_20_074318.jpg,car,19,421,640,18,360,134,1,440,152,LTAdatasets/2703/annotate/2703-2021_03_20_074318.jpg,430.5,143.0,0.67265625,0.3972222222222222,0.0296875,0.05
2703-2021_03_20_074318.jpg,car,17,441,640,11,360,125,1,458,136,LTAdatasets/2703/annotate/2703-2021_03_20_074318.jpg,449.5,130.5,0.70234375,0.3625,0.0265625,0.030555555555555555
2703-2021_03_20_074318.jpg,car,20,349,640,17,360,116,1,369,133,LTAdatasets/2703/annotate/2703-2021_03_20_074318.jpg,359.0,124.5,0.5609375,0.3458333333333333,0.03125,0.04722222222222222
2703-2021_03_20_074318.jpg,car,36,184,640,23,360,182,1,220,205,LTAdatasets/2703/annotate/2703-2021_03_20_074318.jpg,202.0,193.5,0.315625,0.5375,0.05625,0.06388888888888888
2703-2021_03_20_074318.jpg,car,17,402,640,11,360,112,1,419,123,LTAdatasets/2703/annotate/2703-2021_03_20_074318.jpg,410.5,117.5,0.64140625,0.3263888888888889,0.0265625,0.030555555555555555
2703-2021_03_20_074318.jpg,lorry_truck,19,454,640,15,360,111,2,473,126,LTAdatasets/2703/annotate/2703-2021_03_20_074318.jpg,463.5,118.5,0.72421875,0.32916666666666666,0.0296875,0.041666666666666664
2703-2021_03_20_182451.jpg,lorry_truck,56,39,640,39,360,226,2,95,265,LTAdatasets/2703/annotate/2703-2021_03_20_182451.jpg,67.0,245.5,0.1046875,0.6819444444444445,0.0875,0.10833333333333334
2703-2021_03_20_182451.jpg,lorry_truck,30,262,640,17,360,114,2,292,131,LTAdatasets/2703/annotate/2703-2021_03_20_182451.jpg,277.0,122.5,0.4328125,0.3402777777777778,0.046875,0.04722222222222222
2703-2021_03_20_182451.jpg,lorry_truck,27,453,640,22,360,107,2,480,129,LTAdatasets/2703/annotate/2703-2021_03_20_182451.jpg,466.5,118.0,0.72890625,0.3277777777777778,0.0421875,0.06111111111111111
2703-2021_03_20_182451.jpg,car,14,429,640,12,360,112,1,443,124,LTAdatasets/2703/annotate/2703-2021_03_20_182451.jpg,436.0,118.0,0.68125,0.3277777777777778,0.021875,0.03333333333333333
2703-2021_03_20_182451.jpg,car,51,100,640,45,360,227,1,151,272,LTAdatasets/2703/annotate/2703-2021_03_20_182451.jpg,125.5,249.5,0.19609375,0.6930555555555555,0.0796875,0.125
2703-2021_03_20_182451.jpg,car,40,140,640,23,360,191,1,180,214,LTAdatasets/2703/annotate/2703-2021_03_20_182451.jpg,160.0,202.5,0.25,0.5625,0.0625,0.06388888888888888
2703-2021_03_20_182451.jpg,car,33,218,640,28,360,171,1,251,199,LTAdatasets/2703/annotate/2703-2021_03_20_182451.jpg,234.5,185.0,0.36640625,0.5138888888888888,0.0515625,0.07777777777777778
